,STYLE_NAME,STLYE,CT
116741,POMEGRANATE SLIVOVITZ,WINE_VARIETAL SPIRITS_TYPE,211
178418,SAHTI GEISENHEIM,BEER_MICRO WINE_VARIETAL,75
124191,SANGIOVESE GIN LIQUEUR or CORDIAL,WINE_VARIETAL SPIRITS_TYPE,211
24491,CHARBONO TROPICAL,WINE_VARIETAL FLAVOR_STYLE,211
89482,BRUNELLO ROBUST PORTER,WINE_VARIETAL BEER_MICRO,211
156845,RIESLING PINOT NOIR,WINE_VARIETAL WINE_VARIETAL,211
5301,CARAMEL SCHWARZBIER,FLAVOR_STYLE BEER_MICRO,57
174423,SÉMILLON TEMPRANILLO,WINE_VARIETAL WINE_VARIETAL,211
147537,SPIRIT WHISKY PINOT GRIGIO,SPIRITS_TYPE WINE_VARIETAL,77
185867,FRASCATI CHAMPAGNE,WINE_VARIETAL WINE_VARIETAL,211
101530,RESIDUE BRANDY ACAI,SPIRITS_TYPE FLAVOR_STYLE,77
67116,DELAWARE WHEAT MASH WHISKY,WINE_VARIETAL SPIRITS_TYPE,211
51329,GATTINARA MELON,WINE_VARIETAL FLAVOR_STYLE,211
119589,LA CRESCENT ARMAGNAC,WINE_VARIETAL SPIRITS_TYPE,211
198957,PEACH MALBEC,FLAVOR_STYLE WINE_VARIETAL,57
45170,VIOGNIER MILK STOUT,WINE_VARIETAL BEER_MICRO,211
153646,TROPICAL VALPOLICELLA,FLAVOR_STYLE WINE_VARIETAL,57
144768,APPLE BRANDY CONSTANTIA,SPIRITS_TYPE WINE_VARIETAL,77
53654,IMMATURE BRANDY MAPLE,SPIRITS_TYPE FLAVOR_STYLE,77
97333,RED ALE BLUE RASPBERRY,BEER_MICRO FLAVOR_STYLE,75
145038,KOLSCH FRASCATI,BEER_MICRO WINE_VARIETAL,75
35775,LAGER SCOTCH ALE,BEER_STYLE BEER_MICRO,8
129427,DIAGINJO ROSÉ,WINE_SUBSTYLE WINE_STYLE,18
83920,MUSCADINE ROUSSANNE,WINE_VARIETAL WINE_VARIETAL,211
168334,MÜLLER-THURGAU VALDIGUIÉ,WINE_VARIETAL WINE_VARIETAL,211
183184,DORTMUNDER LANDOT NOIR,BEER_MICRO WINE_VARIETAL,75
11159,APPLE SMOKED PORTER,FLAVOR_STYLE BEER_MICRO,57
115274,SAUVIGNON BLANC ARAK,WINE_VARIETAL SPIRITS_TYPE,211
167203,STRAIGHT MALT WHISKY LÉON MILLOT,SPIRITS_TYPE WINE_VARIETAL,77
13196,SAUVIGNON BLANC OATMEAL STOUT,WINE_VARIETAL BEER_MICRO,211
19826,FULL BODY FRUIT,WINE_SUBSTYLE FLAVOR_BROAD,18
112179,NEW ENGLAND IPA SPIRIT WHISKY,BEER_MICRO SPIRITS_TYPE,75
16483,MOSCATEL DE SETUBAL BARLEYWINE,WINE_STYLE BEER_MICRO,13
171476,ANISE TRAMINER,SPIRITS_TYPE WINE_VARIETAL,77
123572,SAISON POMACE or MARC BRANDY,BEER_MICRO SPIRITS_TYPE,75
17743,BIERE DE GARDE ALTBIER,BEER_MICRO BEER_MICRO,75
163338,LICORICE SCHEUREBE,FLAVOR_STYLE WINE_VARIETAL,57
141162,RKATSITELI NEBBIOLO,WINE_VARIETAL WINE_VARIETAL,211
19817,ROSÉ FRUIT,WINE_STYLE FLAVOR_BROAD,13
22201,WHITE BLUEBERRY,WINE_STYLE FLAVOR_STYLE,13
152313,ROCK AND BRANDY BRUNELLO,SPIRITS_TYPE WINE_VARIETAL,77
5524,ALIGOTÉ SCHWARZBIER,WINE_VARIETAL BEER_MICRO,211
176632,GIN LIQUEUR or CORDIAL CHELOIS,SPIRITS_TYPE WINE_VARIETAL,77
50503,CORTESE LICORICE,WINE_VARIETAL FLAVOR_STYLE,211
162892,STRAIGHT RYE WHISKY RKATSITELI,SPIRITS_TYPE WINE_VARIETAL,77
173346,WATERMELON ST. VINCENT,FLAVOR_STYLE WINE_VARIETAL,57
205001,TORRONTÉS CHARDONEL,WINE_VARIETAL WINE_VARIETAL,211
138954,LEES BRANDY GRAPPA,SPIRITS_TYPE WINE_VARIETAL,77
47635,KUNSHU BLACKBERRY,WINE_SUBSTYLE FLAVOR_STYLE,18
9089,LAMBIC or GUEUZE SAISON,BEER_MICRO BEER_MICRO,75
178820,TRAMINER GEISENHEIM,WINE_VARIETAL WINE_VARIETAL,211
103274,BLENDED MALT WHISKY GRAPE  ,SPIRITS_TYPE FLAVOR_STYLE,77
148679,VIOGNIER CATAWBA,WINE_VARIETAL WINE_VARIETAL,211
83610,STRIAGHT BOURBON WHISKY ROUSSANNE,SPIRITS_TYPE WINE_VARIETAL,77
219082,DISTILLED GIN STEEN,SPIRITS_TYPE WINE_VARIETAL,77
149589,CHIANTI CLASSICO EAU DE VIE,WINE_VARIETAL WINE_VARIETAL,211
22960,EISBOCK BANANA,BEER_MICRO FLAVOR_STYLE,75
201865,BIERE DE GARDE MEAD,BEER_MICRO WINE_VARIETAL,75
231,SAMBUCA LAGER,SPIRITS_TYPE BEER_STYLE,77
191096,VERDICCHIO GINGER,WINE_VARIETAL FLAVOR_STYLE,211
33773,ZWEIGELT IMPERIAL STOUT,WINE_VARIETAL BEER_MICRO,211
203031,PETIT MANSENG PINOT BLANC,WINE_VARIETAL WINE_VARIETAL,211
3675,DELAWARE MAIBOCK or HELLES BOCK,WINE_VARIETAL BEER_MICRO,211
48512,CINSAUT CHERRY LIMEADE,WINE_VARIETAL FLAVOR_STYLE,211
3843,AMERICAN LAGER WEIZENBOCK,BEER_MICRO BEER_MICRO,75
29315,CORN WHISKY SCOTCH WHISKY,SPIRITS_TYPE SPIRITS_TYPE,77
34369,RED ALE VIENNA LAGER,BEER_MICRO BEER_MICRO,75
89656,SEYVAL BLANC ROBUST PORTER,WINE_VARIETAL BEER_MICRO,211
46152,ST. PEPIN SHANDY,WINE_VARIETAL BEER_MICRO,211
23872,WEIZENBOCK CHOCOLATE,BEER_MICRO FLAVOR_STYLE,75
167822,MADELEINE ANGEVINE TUPELO HONEY MEAD,WINE_VARIETAL WINE_VARIETAL,211
41738,SUBSTANDARD BRANDY BELGIAN IPA,SPIRITS_TYPE BEER_MICRO,77
63975,RYE WHISKY RESIDUE BRANDY,SPIRITS_TYPE SPIRITS_TYPE,77
113051,HYBRID or SPECIALTY BEER COGNAC,BEER_STYLE SPIRITS_TYPE,8
194750,MALT WHISKY MEDIUM BODY,SPIRITS_TYPE WINE_SUBSTYLE,77
36828,ENGLISH IPA CHILE BEER,BEER_MICRO BEER_MICRO,75
85407,FLANDERS RED ALE VOUVRAY,BEER_MICRO WINE_VARIETAL,75
133526,CRIANZA ALBARIÑO,WINE_VARIETAL WINE_VARIETAL,211
6179,MANZANILLA RAUCHBIER,WINE_VARIETAL BEER_MICRO,211
221861,DISTILLED SPIRITS SPECIALTY MULLED WINE,SPIRITS_BROAD WINE_VARIETAL,13
221961,MADEIRA MULLED WINE,WINE_STYLE WINE_VARIETAL,13
134733,STRAIGHT RYE MALT WHISKY AUSLESE,SPIRITS_TYPE WINE_VARIETAL,77
125044,MILK STOUT CREME DE,BEER_MICRO SPIRITS_TYPE,75
41006,SYMPHONY HERB or SPICE BEER,WINE_VARIETAL BEER_MICRO,211
166920,RKATSITELI LAGREIN,WINE_VARIETAL WINE_VARIETAL,211
70482,CASTEL KIRSCHWASSER,WINE_VARIETAL SPIRITS_TYPE,211
167138,APPLE LÉON MILLOT,FLAVOR_STYLE WINE_VARIETAL,57
191748,PRIMITIVO HAZELNUT,WINE_VARIETAL FLAVOR_STYLE,211
152490,MARC BRUNELLO,WINE_VARIETAL WINE_VARIETAL,211
206781,ROCK AND RYE MUSCAT OTTONEL,SPIRITS_TYPE WINE_VARIETAL,77
116979,POMEGRANATE GRAPPA BRANDY,FLAVOR_STYLE SPIRITS_TYPE,57
104353,SOVEREIGN OPAL GIN,WINE_VARIETAL SPIRITS_BROAD,211
2475,BRETT OTHER FLAVORED MALT BEVERAGES,BEER_MICRO BEER_STYLE,75
211253,GEWÜRZTRAMINER ST. CROIX,WINE_VARIETAL WINE_VARIETAL,211
26989,ALIGOTÉ STRIAGHT BOURBON WHISKY,WINE_VARIETAL SPIRITS_TYPE,211
87301,DUNKEL MERITAGE,BEER_MICRO WINE_VARIETAL,75
225432,CHIANTI CLASSICO CHIANTI CLASSICO,WINE_VARIETAL WINE_VARIETAL,211
19224,SPIRIT WHISKY QUADRUPEL,SPIRITS_TYPE BEER_MICRO,77
171186,GRENACHE CINSAUT,WINE_VARIETAL WINE_VARIETAL,211
155913,UME SHU GAMAY BEAUJOLAIS,WINE_SUBSTYLE WINE_VARIETAL,18
131835,MARECHAL FOCH DRY,WINE_VARIETAL WINE_SUBSTYLE,211
27765,ENGLISH IPA REDISTILLED GIN,BEER_MICRO SPIRITS_TYPE,75
2,HYBRID or SPECIALTY BEER LAGER,BEER_STYLE BEER_STYLE,8
83107,PAPAYA SEYVAL BLANC,FLAVOR_STYLE WINE_VARIETAL,57
218144,BLEND ORTEGA,WINE_STYLE WINE_VARIETAL,13
165728,BRANDY COROT NOIR,SPIRITS_BROAD WINE_VARIETAL,13
113841,LAMBRUSCO RUM LIQUEUR or CORDIAL,WINE_VARIETAL SPIRITS_TYPE,211
165850,SOAVE COROT NOIR,WINE_VARIETAL WINE_VARIETAL,211
175119,PISCO SHIRAZ,SPIRITS_TYPE WINE_VARIETAL,77
115643,BRANDY STRAIGHT MALT WHISKY,SPIRITS_BROAD SPIRITS_TYPE,13
46131,LA CRESCENT SHANDY,WINE_VARIETAL BEER_MICRO,211
143241,KIRSCHWASSER SOVEREIGN OPAL,SPIRITS_TYPE WINE_VARIETAL,77
153409,MALBEC SAUVIGNON BLANC,WINE_VARIETAL WINE_VARIETAL,211
190823,OATMEAL STOUT GINGER,BEER_MICRO FLAVOR_STYLE,75
57684,FRONTENAC GUAVA,WINE_VARIETAL FLAVOR_STYLE,211
219769,MARQUETTE VERMENTINO,WINE_VARIETAL WINE_VARIETAL,211
124467,RKATSITELI GIN LIQUEUR or CORDIAL,WINE_VARIETAL SPIRITS_TYPE,211
119591,ROUGEON ARMAGNAC,WINE_VARIETAL SPIRITS_TYPE,211
178787,RIESLING GEISENHEIM,WINE_VARIETAL WINE_VARIETAL,211
116006,ENGLISH PALE ALE BLENDED RYE MALT WHISKY,BEER_MICRO SPIRITS_TYPE,75
5159,RIESLING MARZEN or OKTOBERFEST,WINE_VARIETAL BEER_MICRO,211
82728,KIWI PETITE SIRAH,FLAVOR_STYLE WINE_VARIETAL,57
3138,JUNSHU SELTZERS,WINE_SUBSTYLE BEER_STYLE,18
203760,WITBIER SOAVE,BEER_MICRO WINE_VARIETAL,75
234,GOLDWASSER LAGER,SPIRITS_TYPE BEER_STYLE,77
198391,STEEN AURORE,WINE_VARIETAL WINE_VARIETAL,211
120400,WILD BERRY ROCK AND BRANDY,FLAVOR_STYLE SPIRITS_TYPE,57
107873,DUNKELWEIZEN MALT WHISKY,BEER_MICRO SPIRITS_TYPE,75
148296,ORTEGA CANNONAU,WINE_VARIETAL WINE_VARIETAL,211
69328,BARBARESCO GOLDWASSER,WINE_VARIETAL SPIRITS_TYPE,211
222682,BLENDED APPLEJACK TOURIGA NACIONAL,SPIRITS_BROAD WINE_VARIETAL,13
74953,EISBOCK JUNMAI,BEER_MICRO WINE_SUBSTYLE,75
82309,MOSCATEL DE SETUBAL ZINFANDEL,WINE_STYLE WINE_VARIETAL,13
168454,BARLEYWINE VERDELHO,BEER_MICRO WINE_VARIETAL,75
34179,ARNEIS GOSE,WINE_VARIETAL BEER_MICRO,211
49679,DUNKELWEIZEN ALMOND,BEER_MICRO FLAVOR_STYLE,75
56834,DUNKELWEIZEN COCONUT,BEER_MICRO FLAVOR_STYLE,75
95643,BLENDED STRIAGHT WHISKY PAPAYA,SPIRITS_TYPE FLAVOR_STYLE,77
156033,CARAMEL LIEBFRAUMILCH,FLAVOR_STYLE WINE_VARIETAL,57
141095,SIEGERREBE NEBBIOLO,WINE_VARIETAL WINE_VARIETAL,211
59604,NERO D’AVOLA MEZCAL,WINE_VARIETAL SPIRITS_BROAD,211
100905,RED PINEAPPLE,WINE_STYLE FLAVOR_STYLE,13
143817,ROCK AND RYE CABERNET SAUVIGNON,SPIRITS_TYPE WINE_VARIETAL,77
62402,ELDERBERRY RYE MASH WHISKY,WINE_VARIETAL SPIRITS_TYPE,211
113409,ST. PEPIN COGNAC,WINE_VARIETAL SPIRITS_TYPE,211
218925,VERMENTINO MANZANILLA,WINE_VARIETAL WINE_VARIETAL,211
149732,MUSCAT EAU DE VIE,WINE_VARIETAL WINE_VARIETAL,211
52225,CURACAO PEAR,SPIRITS_TYPE FLAVOR_STYLE,77
116320,LIGHT BODY BLENDED RYE MALT WHISKY,WINE_SUBSTYLE SPIRITS_TYPE,18
219731,TEMPRANILLO VERMENTINO,WINE_VARIETAL WINE_VARIETAL,211
144470,BAROLO COLOMBARD,WINE_VARIETAL WINE_VARIETAL,211
48475,CHELOIS CHERRY LIMEADE,WINE_VARIETAL FLAVOR_STYLE,211
189936,BRETT VIDAL BLANC,BEER_MICRO WINE_VARIETAL,75
65777,JOHANNISBERG RIESLING BLENDED CANADIAN WHISKY,WINE_VARIETAL SPIRITS_TYPE,211
118146,MARC FRUIT BRANDY,WINE_VARIETAL SPIRITS_TYPE,211
196180,GRAIN SPIRITS BAROLO,SPIRITS_TYPE WINE_VARIETAL,77
135191,HONEY BARDOLINO,FLAVOR_STYLE WINE_VARIETAL,57
173400,RYE LIQUEUR or CORDIAL ST. VINCENT,SPIRITS_TYPE WINE_VARIETAL,77
81386,VERDICCHIO GAMAY,WINE_VARIETAL WINE_VARIETAL,211
41878,PROSECCO BELGIAN IPA,WINE_VARIETAL BEER_MICRO,211
1565,MALT WHISKY KOMBUCHA,SPIRITS_TYPE BEER_STYLE,77
11691,BLENDED STRIAGHT WHISKY HEFEWEIZEN,SPIRITS_TYPE BEER_MICRO,77
51755,SUBSTANDARD BRANDY PECAN,SPIRITS_TYPE FLAVOR_STYLE,77
101627,LAMBIC or GUEUZE CARAMEL,BEER_MICRO FLAVOR_STYLE,75
153356,SUBSTANDARD BRANDY SAUVIGNON BLANC,SPIRITS_TYPE WINE_VARIETAL,77
55353,PUMPKIN ALE WATERMELON,BEER_MICRO FLAVOR_STYLE,75
72018,VINHO VERDE BLEND,WINE_VARIETAL WINE_STYLE,211
26849,BLENDED CORN WHISKY STRIAGHT BOURBON WHISKY,SPIRITS_TYPE SPIRITS_TYPE,77
3817,ALE WEIZENBOCK,BEER_STYLE BEER_MICRO,8
216005,VODKA GRIGNOLINO,SPIRITS_TYPE WINE_VARIETAL,77
119980,STRAIGHT MALT WHISKY ROCK AND RYE,SPIRITS_TYPE SPIRITS_TYPE,77
12596,PEAR SOUR ALE,FLAVOR_STYLE BEER_MICRO,57
156047,ALTBIER LIEBFRAUMILCH,BEER_MICRO WINE_VARIETAL,75
120919,ARMAGNAC ROCK AND RUM,SPIRITS_TYPE SPIRITS_TYPE,77
14707,SYRAH WHEATWINE,WINE_VARIETAL BEER_MICRO,211
94072,SWEET GRAPEFRUIT,FLAVOR_BROAD FLAVOR_STYLE,5
104017,HEFEWEIZEN GIN,BEER_MICRO SPIRITS_BROAD,75
71654,BLACK CHERRY BLEND,FLAVOR_STYLE WINE_STYLE,57
168524,WHEAT MASH WHISKY VERDELHO,SPIRITS_TYPE WINE_VARIETAL,77
157906,HAZY IPA CHANCELLOR (NOIR),BEER_MICRO WINE_VARIETAL,75
154399,MARSANNE CASTEL,WINE_VARIETAL WINE_VARIETAL,211
46487,CORN WHISKY VARIETY,SPIRITS_TYPE FLAVOR_BROAD,77
74216,BLUSH DIAGINJO,WINE_VARIETAL WINE_SUBSTYLE,211
69344,GRIGNOLINO GOLDWASSER,WINE_VARIETAL SPIRITS_TYPE,211
213922,BLENDED IRISH WHISKY TANNAT,SPIRITS_TYPE WINE_VARIETAL,77
5444,APRICOT SCHWARZBIER,FLAVOR_STYLE BEER_MICRO,57
19180,FRUIT QUADRUPEL,FLAVOR_BROAD BEER_MICRO,5
85980,PASSIONFRUIT ROSÉ,FLAVOR_STYLE WINE_VARIETAL,57
38746,PAPAYA SAHTI,FLAVOR_STYLE BEER_MICRO,57
26841,NEURTAL STRIAGHT BOURBON WHISKY,SPIRITS_BROAD SPIRITS_TYPE,13
71664,POMEGRANATE BLEND,FLAVOR_STYLE WINE_STYLE,57
179753,VODKA MARECHAL FOCH,SPIRITS_TYPE WINE_VARIETAL,77
153582,GAMAY SAUVIGNON BLANC,WINE_VARIETAL WINE_VARIETAL,211
146234,OAKY GEWÜRZTRAMINER,WINE_SUBSTYLE WINE_VARIETAL,18
163769,HONJOZO TEROLDEGO,WINE_SUBSTYLE WINE_VARIETAL,18
109109,POMEGRANATE STRAIGHT WHEAT WHISKY,WINE_VARIETAL SPIRITS_TYPE,211
227222,TOKAY NOIRET,WINE_VARIETAL WINE_VARIETAL,211
98041,ROCK AND BOURBON MINT,SPIRITS_TYPE FLAVOR_STYLE,77
47467,CANADIAN WHISKY BLACKBERRY,SPIRITS_TYPE FLAVOR_STYLE,77
151137,COGNAC SOUZÃO,SPIRITS_TYPE WINE_VARIETAL,77
180540,GOLDWASSER PETITE MILO,SPIRITS_TYPE WINE_VARIETAL,77
193511,CHÂTEAUNEUF-DU-PAPE BLENDED CORN WHISKY,WINE_VARIETAL SPIRITS_TYPE,211
7658,LAMBIC or GUEUZE MILD ALE,BEER_MICRO BEER_MICRO,75
119743,DORTMUNDER ROCK AND RYE,BEER_MICRO SPIRITS_TYPE,75
154830,BOAL REGENT,WINE_VARIETAL WINE_VARIETAL,211
154471,BLENDED APPLEJACK CASTEL,SPIRITS_BROAD WINE_VARIETAL,13
151892,MELON BOAL,FLAVOR_STYLE WINE_VARIETAL,57
77034,APPLE BRANDY ASTI SPUMANTE,SPIRITS_TYPE WINE_VARIETAL,77
160530,RED MALVASIA,WINE_STYLE WINE_VARIETAL,13
74639,RAISIN BRANDY GINJO,SPIRITS_TYPE WINE_SUBSTYLE,77
147551,HONJOZO PINOT GRIGIO,WINE_SUBSTYLE WINE_VARIETAL,18
20861,MELON DE BOURGOGNE MIXED,WINE_VARIETAL FLAVOR_BROAD,211
43816,LIGHT BODY CREAM ALE,WINE_SUBSTYLE BEER_MICRO,18
81573,READY TO DRINK (RTD) or PRE-MIX COCKTAIL TREBBIANO,BEER_STYLE WINE_VARIETAL,8
8133,FLANDERS RED ALE IMPERIAL or DOUBLE IPA,BEER_MICRO BEER_MICRO,75
82655,MALT WHISKY PETITE SIRAH,SPIRITS_TYPE WINE_VARIETAL,77
216439,CHAMBOURCIN LEMBERGER,WINE_VARIETAL WINE_VARIETAL,211
154685,BLENDED CORN WHISKY REGENT,SPIRITS_TYPE WINE_VARIETAL,77
115156,BANANA ARAK,FLAVOR_STYLE SPIRITS_TYPE,57
153424,PETITE MILO SAUVIGNON BLANC,WINE_VARIETAL WINE_VARIETAL,211
82994,NEBBIOLO PETITE SIRAH,WINE_VARIETAL WINE_VARIETAL,211
101374,ROCK AND RUM ACAI,SPIRITS_TYPE FLAVOR_STYLE,77
140276,OLD ALE MARSALA,BEER_MICRO WINE_VARIETAL,75
122463,NIAGARA CANADIAN WHISKY,WINE_VARIETAL SPIRITS_TYPE,211
194048,SOUZÃO STRAIGHT WHISKY,WINE_VARIETAL SPIRITS_TYPE,211
14294,SYMPHONY ENGLISH IPA,WINE_VARIETAL BEER_MICRO,211
94952,SAISON LIME,BEER_MICRO FLAVOR_STYLE,75
121767,TEQUILA KUMMEL,SPIRITS_BROAD SPIRITS_TYPE,13
115196,SUBSTANDARD BRANDY ARAK,SPIRITS_TYPE SPIRITS_TYPE,77
155348,RAYON D'OR ST. PEPIN,WINE_VARIETAL WINE_VARIETAL,211
49943,CINSAUT ALMOND,WINE_VARIETAL FLAVOR_STYLE,211
17231,BLENDED CANADIAN WHISKY KELLERBIER or ZWICKELBIER,SPIRITS_TYPE BEER_MICRO,77
86985,SANGIOVESE STEUBEN,WINE_VARIETAL WINE_VARIETAL,211
167015,MARZEN or OKTOBERFEST LÉON MILLOT,BEER_MICRO WINE_VARIETAL,75
155461,STEEN ST. PEPIN,WINE_VARIETAL WINE_VARIETAL,211
167172,BLENDED WHISKY LÉON MILLOT,SPIRITS_TYPE WINE_VARIETAL,77
180999,WHEAT WHISKY SABREVOIS,SPIRITS_TYPE WINE_VARIETAL,77
53901,LAGER PUMPKIN,BEER_STYLE FLAVOR_STYLE,8
82082,OLD ALE ZINFANDEL,BEER_MICRO WINE_VARIETAL,75
215453,CHÂTEAUNEUF-DU-PAPE FRONTENAC GRIS,WINE_VARIETAL WINE_VARIETAL,211
63182,CORN WHISKY COMPOUNDED GIN,SPIRITS_TYPE SPIRITS_TYPE,77
164079,VINHO VERDE TEROLDEGO,WINE_VARIETAL WINE_VARIETAL,211
87926,HONJOZO VIGNOLES,WINE_SUBSTYLE WINE_VARIETAL,18
161161,KUNSHU MARQUIS,WINE_SUBSTYLE WINE_VARIETAL,18
18384,RED LAMBIC or GUEUZE,WINE_STYLE BEER_MICRO,13
24029,GRIGNOLINO CHOCOLATE,WINE_VARIETAL FLAVOR_STYLE,211
62553,HELLES BLENDED SCOTCH WHISKY,BEER_MICRO SPIRITS_TYPE,75
64756,PINOT MEUNIER ANISE,WINE_VARIETAL SPIRITS_TYPE,211
190676,POMEGRANATE BLAUFRÄNKISCH,WINE_VARIETAL WINE_VARIETAL,211
160710,GREEN HUNGARIAN MALVASIA,WINE_VARIETAL WINE_VARIETAL,211
198083,LAVENDER AURORE,FLAVOR_STYLE WINE_VARIETAL,57
107354,SAISON WHEAT WHISKY,BEER_MICRO SPIRITS_TYPE,75
145494,MAIBOCK or HELLES BOCK FUMÉ BLANC,BEER_MICRO WINE_VARIETAL,75
46596,MARC VARIETY,WINE_VARIETAL FLAVOR_BROAD,211
107247,COUNOISE BOURBON WHISKY,WINE_VARIETAL SPIRITS_TYPE,211
62766,BANYLUS BLENDED SCOTCH WHISKY,WINE_VARIETAL SPIRITS_TYPE,211
170834,ALTBIER CINSAUT,BEER_MICRO WINE_VARIETAL,75
105610,LEMON DISTILLED SPIRITS SPECIALTY,FLAVOR_STYLE SPIRITS_BROAD,57
218012,OATMEAL STOUT ORTEGA,BEER_MICRO WINE_VARIETAL,75
209089,BARBARESCO LACROSSE,WINE_VARIETAL WINE_VARIETAL,211
104330,VERNACCIA GIN,WINE_VARIETAL SPIRITS_BROAD,211
61541,DOPPELBOCK STRIAGHT CORN WHISKY,BEER_MICRO SPIRITS_TYPE,75
25702,KIR MACADAMIA,WINE_VARIETAL FLAVOR_STYLE,211
126260,VIOGNIER CALVADOS,WINE_VARIETAL SPIRITS_TYPE,211
110170,VIDAL BLANC MALT MASH WHISKY,WINE_VARIETAL SPIRITS_TYPE,211
76176,ARAK JUNSHU,WINE_VARIETAL WINE_SUBSTYLE,211
196121,CHILE BEER BAROLO,BEER_MICRO WINE_VARIETAL,75
57277,QUADRUPEL GUAVA,BEER_MICRO FLAVOR_STYLE,75
50626,EISBOCK HUCKLEBERRY,BEER_MICRO FLAVOR_STYLE,75
111333,GINGER BLENDED WHEAT WHISKY,FLAVOR_STYLE SPIRITS_TYPE,57
8982,CATAWBA BLACK IPA or CASCADIAN DARK ALE,WINE_VARIETAL BEER_MICRO,211
101120,NEBBIOLO PINEAPPLE,WINE_VARIETAL FLAVOR_STYLE,211
158082,WATERMELON CHANCELLOR (NOIR),FLAVOR_STYLE WINE_VARIETAL,57
41939,VOUVRAY BELGIAN IPA,WINE_VARIETAL BEER_MICRO,211
89511,ARNEIS ROBUST PORTER,WINE_VARIETAL BEER_MICRO,211
133551,VINHO VERDE ALBARIÑO,WINE_VARIETAL WINE_VARIETAL,211
134328,GRAPPA ARNEIS,WINE_VARIETAL WINE_VARIETAL,211
130885,MIXED NAMA,FLAVOR_BROAD WINE_SUBSTYLE,5
119467,RYE MALT WHISKY ARMAGNAC,SPIRITS_TYPE SPIRITS_TYPE,77
131239,EISBOCK SOUSHU,BEER_MICRO WINE_SUBSTYLE,75
115471,QUADRUPEL STRAIGHT MALT WHISKY,BEER_MICRO SPIRITS_TYPE,75
608,GIN ALE,SPIRITS_BROAD BEER_STYLE,13
167495,ALTBIER TUPELO HONEY MEAD,BEER_MICRO WINE_VARIETAL,75
75805,ST. LAURENT UME SHU,WINE_VARIETAL WINE_SUBSTYLE,211
88170,BLENDED WHEAT WHISKY VIGNOLES,SPIRITS_TYPE WINE_VARIETAL,77
171275,ENGLISH STRONG BITTER (ESB) TRAMINER,BEER_MICRO WINE_VARIETAL,75
182532,SÉMILLON RIESLING,WINE_VARIETAL WINE_VARIETAL,211
92942,BOURBON MASH WHISKY KOLSCH,SPIRITS_TYPE BEER_MICRO,77
132422,MERLOT KUNSHU,WINE_VARIETAL WINE_SUBSTYLE,211
151689,KOMBUCHA BOAL,BEER_STYLE WINE_VARIETAL,8
141586,CARMENERE SANGIOVESE,WINE_VARIETAL WINE_VARIETAL,211
58594,BLENDED APPLEJACK WHISKY,SPIRITS_BROAD SPIRITS_BROAD,13
49944,DELAWARE ALMOND,WINE_VARIETAL FLAVOR_STYLE,211
97509,ACAI BLUE RASPBERRY,FLAVOR_STYLE FLAVOR_STYLE,57
111354,LIQUEUR or CORDIAL BLENDED WHEAT WHISKY,SPIRITS_BROAD SPIRITS_TYPE,13
164457,SHIRAZ MOSCATO,WINE_VARIETAL WINE_VARIETAL,211
108672,MARQUIS CORN WHISKY,WINE_VARIETAL SPIRITS_TYPE,211
188775,ST. PEPIN RAYON D'OR,WINE_VARIETAL WINE_VARIETAL,211
174482,MAGNOLIA TEMPRANILLO,WINE_VARIETAL WINE_VARIETAL,211
114141,IRISH WHISKY BLENDED MALT WHISKY,SPIRITS_TYPE SPIRITS_TYPE,77
136210,MOSCATEL DE SETUBAL BLANC DE BLANCS,WINE_STYLE WINE_VARIETAL,13
30798,MEDIUM SWEET CIDER,WINE_SUBSTYLE BEER_STYLE,18
41892,MARQUIS BELGIAN IPA,WINE_VARIETAL BEER_MICRO,211
207677,REGENT ROUGEON,WINE_VARIETAL WINE_VARIETAL,211
21241,STRAIGHT MALT WHISKY APPLE,SPIRITS_TYPE FLAVOR_STYLE,77
94151,REGENT GRAPEFRUIT,WINE_VARIETAL FLAVOR_STYLE,211
111169,SCOTTISH ALE BLENDED WHEAT WHISKY,BEER_MICRO SPIRITS_TYPE,75
136374,MONTEPULCIANO BLANC DE BLANCS,WINE_VARIETAL WINE_VARIETAL,211
200302,ST. LAURENT CHÂTEAUNEUF-DU-PAPE,WINE_VARIETAL WINE_VARIETAL,211
158392,SCOTTISH ALE CRÉMANT,BEER_MICRO WINE_VARIETAL,75
4223,STRIAGHT CORN WHISKY WEIZENBOCK,SPIRITS_TYPE BEER_MICRO,77
21754,DOLCETTO WILD BERRY,WINE_VARIETAL FLAVOR_STYLE,211
137611,STRAIGHT RYE WHISKY CARMENERE,SPIRITS_TYPE WINE_VARIETAL,77
185903,MELON DE BOURGOGNE CHAMPAGNE,WINE_VARIETAL WINE_VARIETAL,211
203459,BOURBON LIQUEUR or CORDIAL PORT,SPIRITS_TYPE WINE_VARIETAL,77
42734,BLUSH BERLINER WEISSE,WINE_VARIETAL BEER_MICRO,211
202657,LIGHT BODY PETIT VERDOT,WINE_SUBSTYLE WINE_VARIETAL,18
208891,REFOSCO TRAMINETTE,WINE_VARIETAL WINE_VARIETAL,211
65585,RYE MASH WHISKY BLENDED CANADIAN WHISKY,SPIRITS_TYPE SPIRITS_TYPE,77
103253,BLENDED LIGHT WHISKY GRAPE  ,SPIRITS_TYPE FLAVOR_STYLE,77
